2026-09-02 10:54:23 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 10:55:07 | INFO    | logger          | 世界状态: 开学第27天。上午。晴。阳光从训练场的铁丝网漏进来，在地上划出整齐的格子。
2026-09-02 10:55:07 | INFO    | logger          | 已加载角色: 冷旭帆
2026-09-02 10:55:08 | DEBUG   | logger          | [EventBus] 订阅: huangjingyun.action
2026-09-02 11:23:06 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 11:24:05 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 11:25:30 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 11:26:48 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 11:27:53 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 11:29:30 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 11:32:23 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 11:36:11 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 11:37:36 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 11:39:39 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 11:41:30 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 11:43:53 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 11:48:03 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 11:49:38 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 11:51:58 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 11:53:08 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 11:55:22 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 11:56:45 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 11:59:09 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 12:00:53 | INFO    | logger          | 启动 Web 服务，端口 5000
2026-09-02 12:00:56 | INFO    | logger          | 世界状态: 开学第29天。中午。晴。阳光从训练场的铁丝网漏进来，在地上划出整齐的格子。
2026-09-02 12:00:56 | INFO    | logger          | 已加载角色: 冷旭帆
2026-09-02 12:00:56 | DEBUG   | logger          | [EventBus] 订阅: huangjingyun.action
