2026-09-02 20:40:14 | INFO    | logger          | 世界状态: 开学第37天。夜晚。小雨。窗外下着小雨。雨滴打在阳台栏杆上，声音很轻。
2026-09-02 20:40:14 | INFO    | logger          | 已加载角色: 冷旭帆
2026-09-02 20:40:14 | DEBUG   | logger          | [EventBus] 订阅: huangjingyun.action
2026-09-02 20:40:14 | INFO    | logger          | [离线] 冷旭帆: 安静地待着
2026-09-02 20:40:14 | INFO    | logger          | 世界状态: 开学第37天。夜晚。小雨。窗外下着小雨。雨滴打在阳台栏杆上，声音很轻。
2026-09-02 20:40:14 | INFO    | logger          | 已加载角色: 黄景云
2026-09-02 20:40:14 | DEBUG   | logger          | [EventBus] 订阅: lengxufan.action
2026-09-02 20:40:14 | INFO    | logger          | [离线] 黄景云: 安静地待着
2026-09-02 20:40:14 | INFO    | logger          | 世界状态: 开学第37天。夜晚。小雨。窗外下着小雨。雨滴打在阳台栏杆上，声音很轻。
2026-09-02 20:40:14 | INFO    | logger          | 已加载角色: 叶清辞
2026-09-02 20:40:15 | INFO    | logger          | [离线] 叶清辞: 安静地待着
